Kaupunki;Puolue;Sukunimi;Etunimi;Ikä;Nettisivun osoite;Facebook-sivu;Twitter-sivu;Kotikuntani palveluita tulisi ulkoistaa entistä enemmän yksityisten yritysten tuotettavaksi.;Jos kunnassani tulee eteen tilanne, jossa on välttämätöntä joko leikata kunnallisia palveluita ja sosiaalietuuksia tai korottaa veroja, veronkorotukset ovat parempi vaihtoehto.;Suuret tuloerot ovat hyväksyttäviä, jotta erot ihmisten lahjakkuudessa ja ahkeruudessa voidaan palkita.;Nykyisen kaltaiset kunnalliset palvelut ja sosiaalietuudet ovat pitemmän päälle liian raskaita julkiselle taloudelle.;Kotikuntani päätöksenteossa pitää vaalia perinteisiä suomalaisia arvoja.;Eduskunta hyväksyi vuonna 2009 lain, joka mahdollistaa parisuhteensa rekisteröineille homo- ja lesbopareille perheen sisäisen adoption. Homo- ja lesboparien pitää saada oikeus myös perheen ulkopuoliseen adoptioon.;Jos valtio tarjoaa turvapaikanhakijoiden vastaanottokeskuksen perustamista kotikuntani keskustaan, tarjous pitää hyväksyä.;Kouluissa kohdellaan koululaisia liian lepsusti. Tiukempi kuri tekisi kouluista parempia.;Talouskasvu ja työpaikkojen luominen tulisi asettaa ympäristöasioiden edelle, silloin kun nämä kaksi ovat keskenään ristiriidassa.;Kaikessa kotikuntani päätöksenteossa pitäisi arvioida vaikutukset ympäristöön ja tarvittaessa luopua ympäristölle haitallisista hankkeista.;Kotikuntani palveluita tulisi ulkoistaa entistä enemmän yksityisten yritysten tuotettavaksi.;Jos kunnassani tulee eteen tilanne, jossa on välttämätöntä joko leikata kunnallisia palveluita ja sosiaalietuuksia tai korottaa veroja, veronkorotukset ovat parempi vaihtoehto.;Suuret tuloerot ovat hyväksyttäviä, jotta erot ihmisten lahjakkuudessa ja ahkeruudessa voidaan palkita.;Nykyisen kaltaiset kunnalliset palvelut ja sosiaalietuudet ovat pitemmän päälle liian raskaita julkiselle taloudelle.;Kotikuntani päätöksenteossa pitää vaalia perinteisiä suomalaisia arvoja.;Eduskunta hyväksyi vuonna 2009 lain, joka mahdollistaa parisuhteensa rekisteröineille homo- ja lesbopareille perheen sisäisen adoption. Homo- ja lesboparien pitää saada oikeus myös perheen ulkopuoliseen adoptioon.;Jos valtio tarjoaa turvapaikanhakijoiden vastaanottokeskuksen perustamista kotikuntani keskustaan, tarjous pitää hyväksyä.;Kouluissa kohdellaan koululaisia liian lepsusti. Tiukempi kuri tekisi kouluista parempia.;Talouskasvu ja työpaikkojen luominen tulisi asettaa ympäristöasioiden edelle, silloin kun nämä kaksi ovat keskenään ristiriidassa.;Kaikessa kotikuntani päätöksenteossa pitäisi arvioida vaikutukset ympäristöön ja tarvittaessa luopua ympäristölle haitallisista hankkeista.
Espoo;VIHR;Louhelainen;Kirsi;;http://kirsilouhelainen.fi/;http://www.facebook.com/louhelainenkirsi;http://twitter.com/murmutti;2;2;4;2;3;1;1;2;4;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Malme;Juhana;35;http://www.vihreatehdokkaat.fi/juhana.malme;https://www.facebook.com/EhdokasMalme;;3;2;3;1;3;1;1;2;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Matikka;Marjo;;http://www.marjomatikka.net/;https://www.facebook.com/matikka.marjo;;1;2;4;4;4;1;3;4;4;5;3;2;2;2;3;2;2;3;2;3
Espoo;VIHR;Mehinovic;Atif;;;http://www.facebook.com/pages/Atif-Mehinovic/520226331340674?fref=ts;;5;4;4;2;5;1;1;4;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Merikoski;Hannele;;;;;1;2;2;2;4;1;2;4;2;4;2;2;2;2;3;1;2;1;2;3
Espoo;VIHR;Mikkola;Merva;67;http://www.merva.mikkola/;;;1;2;1;1;4;1;1;1;5;5;3;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Nevalainen;Mari;42;http://www.marinevalainen.net/;http://www.facebook.com/mari.nevalainen.3#!/pages/Mari-Nevalainen-Syd%C3%A4men-asialla/184373474906073?fref=ts;;2;2;3;2;3;1;4;2;5;5;3;2;2;2;2;2;2;2;3;3
Espoo;VIHR;Nieminen;Pinja;;http://henkilot.vihreat.fi/pinja.nieminen;http://www.facebook.com/nieminenpinja;http://www.twitter.com/pinjanieminen;1;1;2;2;3;1;1;3;5;5;3;2;2;3;2;2;2;2;2;3
Espoo;VIHR;Niinivaara;Saku;20;http://www.facebook.com/SakuTaccomaaNiinivaara;http://www.facebook.com/SakuTaccomaaNiinivaara;;1;1;1;2;2;1;2;3;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Niiranen;Seppo;;;;;3;2;1;2;2;1;1;4;4;5;2;2;3;2;3;3;2;1;3;3
Espoo;VIHR;Norra;Peter;;http://peternorra.eettinenyrittäjyys.fi/;https://www.facebook.com/PeterNorra;;1;1;1;1;3;3;2;5;5;5;3;3;3;3;3;2;2;3;3;3
Espoo;VIHR;Paatero;Hanna;;;;;2;2;1;4;3;1;1;4;5;5;3;3;2;3;2;3;2;2;3;3
Espoo;VIHR;Pietilä;Sampsa;;;;;1;1;1;1;3;1;3;2;5;5;2;2;2;2;2;2;2;2;3;3
Espoo;VIHR;Pitkänen;Ali;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VIHR;Raittila;Saana;;;;;1;1;1;2;2;1;1;4;4;5;3;3;3;3;2;3;3;2;2;3
Espoo;VIHR;Rahkonen;Susanna;44;http://henkilot.vihreat.fi/susanna.rahkonen;http://www.facebook.com/rahkonensusanna;http://twitter.com/SusannaRahkonen;1;1;1;1;3;2;2;1;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Raudasoja;Satu;;;;;2;2;2;3;4;1;2;3;4;5;2;2;1;1;1;2;2;2;2;2
Espoo;VIHR;Rosenlund;Milla;;;http://www.facebook.com/milla.rosenlund436;;3;2;2;2;3;1;3;3;3;4;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Ruohonen;Merja;;;;;2;2;2;4;4;1;2;3;5;5;3;3;3;2;2;2;1;1;3;3
Espoo;VIHR;Ruusu;Henna;37;http://ruusu.kapsi.fi/;http://www.facebook.com/HennaRuusu;;2;2;2;2;3;1;2;2;5;4;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Röholm;Johanna;;;;;2;1;1;5;3;1;2;2;5;5;3;2;3;3;1;2;2;3;3;3
Espoo;VIHR;Salah;Abdullahi;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VIHR;Siirala;Maisa;;;;;2;2;2;2;3;1;2;3;4;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Soininen;Mika;;;;;4;2;2;2;4;1;1;2;4;5;3;2;2;3;2;2;2;2;2;2
Espoo;VIHR;Surakka;Kimmo;;;;;1;2;4;2;2;1;2;4;4;5;3;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Sykäri;Jaana;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VIHR;Wahlsten;Hanna;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VIHR;Vauhkonen;Sami;35;http://www.samivauhkonen.fi/;https://www.facebook.com/sami.p.vauhkonen;;4;2;2;1;3;1;1;3;5;5;3;2;2;3;1;2;3;3;3;3
Espoo;VIHR;Visakova;Marika;;;;;2;1;2;1;2;1;1;2;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Volotinen;Teresia;60;http://www.teresiavolotinen.fi/;;;1;2;1;1;3;1;1;2;4;4;3;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Yusuf;Said;;;;;3;1;2;2;3;3;1;2;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Alanen;Leena;;;;;2;2;1;1;3;2;2;4;5;4;2;2;3;2;2;1;2;2;3;3
Espoo;VIHR;Asikainen;Risto;55;;http://www.facebook.com/RistoRikuAsikainen?ref=hl;;2;2;5;2;4;5;2;4;4;5;2;2;3;2;2;3;2;2;3;3
Espoo;VIHR;Halava;Heli;;https://www.facebook.com/EhdokasHeliHalava;https://www.facebook.com/EhdokasHeliHalava;;2;2;3;2;3;2;2;4;4;5;3;2;2;2;2;1;1;1;2;2
Espoo;VIHR;Heikkinen;Rolf;;;;;2;3;3;3;3;1;1;4;3;5;1;3;1;2;1;3;3;3;3;3
Espoo;VIHR;Inkala;Arto;43;http://www.aisudoku.com/ArtoInkala.html;;;1;3;1;4;2;1;3;4;5;5;3;2;3;2;2;2;2;2;3;3
Espoo;VIHR;Inomaa;Eeva-Helena;;;;;1;1;1;3;4;1;1;5;5;5;3;2;2;2;3;2;2;3;3;3
Espoo;VIHR;Jakupovic;Asmir;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VIHR;Kaseorg;Egle;;;;;1;2;1;1;1;5;2;5;1;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Kaukinen;Miia;;;;;2;3;2;3;3;3;3;2;4;4;3;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Koivisto;Janna;;;;;2;2;1;2;2;1;1;4;5;5;2;3;3;2;2;2;2;2;3;3
Espoo;VIHR;Koponen;Leila;50;http://www.facebook.com/pages/Leila-Koponen-%C3%A4%C3%A4nestysnumero-387/281664818616517;http://www.facebook.com/pages/Leila-Koponen-%C3%A4%C3%A4nestysnumero-387/281664818616517;;4;2;2;2;2;1;1;2;4;5;2;3;2;3;3;3;3;3;2;2
Espoo;VIHR;Korpela;Johanna;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VIHR;Lahikainen;Riitta;;;;;2;1;2;2;5;2;3;4;5;5;3;3;3;3;3;2;2;2;3;3
Espoo;VIHR;Lahti;Katja;38;http://www.projectmama.info/;;;3;2;2;2;3;2;3;4;4;5;2;2;2;2;2;1;1;2;3;2
Espoo;VIHR;Lahtinen;Mikko;37;https://www.facebook.com/MikkoLahtinenKunnallisvaalit2012;https://www.facebook.com/MikkoLahtinenKunnallisvaalit2012;;4;2;4;3;3;2;3;2;4;2;3;2;3;3;3;2;1;3;3;3
Espoo;VIHR;Leppänen;Teemu;;http://www.kotona.net/;http://www.facebook.com/pages/Teemu-Leppänen-Espoon-kaupunginvaltuustoon-2012/531030716912741;;2;1;1;1;3;5;2;3;5;4;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Lindroos;Sirkka;;http://www.vihreatehdokkaat.fi/sirkka.lindroos/;;;1;1;3;2;5;1;2;5;4;4;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Lithovius;Liisa;;;;;2;1;2;2;2;1;1;4;5;5;2;2;2;3;2;3;2;2;2;2
Espoo;VIHR;Loman;Teuvo;;;;;3;3;4;4;1;1;2;4;2;4;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Majumdar;Himadri;;;;;2;2;4;2;5;2;3;3;4;5;2;3;2;3;3;2;2;2;3;3
Espoo;VIHR;Meriluoto;Jouni;48;http://www.iki.fi/jouni.meriluoto;http://www.facebook.com/jounimeriluoto;;2;2;2;2;4;2;2;2;4;4;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Myllärniemi;Jyrki;;;;;2;2;2;2;3;3;3;3;4;4;2;3;2;3;3;1;2;2;2;3
Espoo;VIHR;Nevanlinna;Risto;;;;;2;2;2;2;3;1;4;3;5;5;3;3;3;2;1;2;2;2;3;3
Espoo;VIHR;Nuora;Marja;;;;;2;2;1;4;3;1;2;3;4;5;2;2;3;2;1;3;2;2;2;3
Espoo;VIHR;Partanen;Henna;31;http://www.hennapartanen.fi/;https://www.facebook.com/partanen.henna;https://twitter.com/H_Partanen;3;1;1;2;3;1;2;4;5;5;2;3;3;2;1;2;2;1;3;3
Espoo;VIHR;Pistemaa;Kari;;;https://www.facebook.com/KariYPistemaaEspoo;;2;2;2;2;5;1;1;1;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Poikolainen;Klara;;;;;2;2;3;2;3;2;2;1;5;5;2;2;2;2;2;2;2;2;2;3
Espoo;VIHR;Puustinen;Merja;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VIHR;Pöyhönen;Heikki;;;;;4;2;4;2;5;5;2;5;4;4;2;3;2;2;3;2;2;3;2;2
Espoo;VIHR;Railo;Tuomo;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VIHR;Ranne;Kirsi;49;;;;1;1;2;1;5;2;2;5;4;4;3;3;3;2;3;2;2;3;2;3
Espoo;VIHR;Räsänen;Heikki;;;;;2;2;2;4;4;1;2;2;5;5;2;2;2;2;2;2;2;2;3;3
Espoo;VIHR;Saariaho;Aki;;;;;1;1;1;2;1;1;1;4;5;5;2;3;2;2;2;2;2;2;2;2
Espoo;VIHR;Salli;Päivi;;;;;2;2;2;4;4;1;2;2;4;5;3;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Saloniemi;Tuomas;29;http://www.saloniemi.net/;http://www.facebook.com/tsaloniemi;;3;1;1;1;3;1;2;3;5;5;2;3;3;2;2;2;2;2;3;3
Espoo;VIHR;Saraste;Taru;;;;;3;2;2;2;3;1;2;2;4;5;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Sirén;Minna;;;https://www.facebook.com/MinnaSirenKatseVahanKauemmas;;2;1;2;1;3;1;1;4;5;5;3;3;2;2;2;2;2;2;2;2
Espoo;VIHR;Tenkanen;Marjut;;;;;1;1;1;1;4;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2
Espoo;VIHR;Viitanen;Erno;;;;;3;2;2;4;3;1;3;5;5;5;2;2;2;2;1;3;2;3;3;3
Espoo;VIHR;Vilén;Seija;;;;;1;1;1;1;3;1;2;1;5;5;3;3;3;3;1;3;2;2;3;3
Espoo;VIHR;Vyskubov;Dmitry;;;;;3;2;4;2;3;1;4;4;3;5;1;1;3;1;1;1;1;3;2;2
Espoo;VIHR;Väisänen;Ari;;;;;2;2;1;2;3;1;4;4;5;5;2;2;3;2;2;2;2;2;3;3
Espoo;VIHR;Ylitalo;Ville;;;;;1;1;4;2;5;2;5;4;5;5;3;3;2;3;2;1;2;2;3;3
Espoo;KD;Ahteela;Jaana;;;;;2;2;2;2;4;4;2;5;4;4;2;2;2;2;2;1;1;3;2;2
Espoo;KD;Aro;Irmeli;;;;;4;2;3;4;3;3;2;4;5;5;3;2;2;3;3;1;2;2;3;3
Espoo;KD;Bartholdi;Pauli;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Bollström;Harri;;;;;2;2;2;1;5;1;2;4;4;4;3;3;3;3;2;3;2;3;2;2
Espoo;KD;Davidsson;Harri;;;;;4;1;5;5;5;5;4;5;5;5;3;3;3;3;3;3;3;3;3;3
Espoo;KD;Drotár;Kristiina;58;;http://www.facebook.com/KristiinaDrotar?ref=ts&fref=ts;;2;2;4;2;5;5;1;4;5;4;3;3;2;2;3;2;2;3;3;2
Espoo;KD;Hauta-aho;Mia-Maria;;;;;4;1;3;3;5;5;4;3;3;5;2;2;2;2;2;2;2;2;2;2
Espoo;KD;Helander;Mimosa;;;;;1;1;1;1;5;4;1;4;5;5;3;3;3;3;3;2;3;2;3;3
Espoo;KD;Hurmalainen;Ahti;52;;;;2;4;4;4;4;5;2;5;3;4;2;3;2;2;2;2;1;2;2;2
Espoo;KD;Hätönen;Hannu;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Jokinen;Tiipi;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Järvenpää;Kaarina;;http://www.kaarinajarvenpaa.fi/;;;2;2;3;2;4;4;3;2;2;3;2;3;2;2;2;2;1;2;2;2
Espoo;KD;Järvenpää;Pertti;60;;;;4;2;3;2;5;4;3;4;2;2;3;2;2;3;3;2;2;2;2;2
Espoo;KD;Kalliola;Kaija;;;;;3;2;3;4;5;5;3;3;4;4;2;2;2;3;3;3;2;2;2;2
Espoo;KD;Kalliola;Teemu;;;;;4;3;4;5;3;3;4;3;2;5;2;2;2;3;1;1;2;1;2;2
Espoo;KD;Kangas;Mervi;;;;;2;2;1;2;4;5;3;4;3;5;2;2;2;2;2;2;2;2;2;2
Espoo;KD;Karvo;Aki;;;;;2;2;1;2;4;5;2;4;5;5;3;2;3;2;3;3;3;2;3;3
Espoo;KD;Kaukoranta;Sara;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Koivukoski;Jari;43;http://koivukoski.blogspot.fi/;;;4;4;4;4;5;5;5;4;4;4;2;2;3;2;3;2;2;2;3;3
Espoo;KD;Kokkola;Hanna-Liisa;;;;;2;2;2;2;5;5;2;4;1;5;2;2;2;3;2;2;2;2;2;2
Espoo;KD;Krogius;Edward;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Kyllästinen;Karri;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Laato;Ester;;;;;4;2;3;5;4;5;2;5;5;5;3;2;2;3;3;3;2;2;2;2
Espoo;KD;Lappalainen;Ritva;;;;;4;2;2;2;5;4;2;2;4;5;3;2;2;3;2;2;2;2;3;3
Espoo;KD;Laukkanen;Antero;;;;;3;2;2;2;5;5;1;4;5;5;2;2;3;3;3;3;3;2;3;3
Espoo;KD;Maijala;Ville;41;;;;4;2;2;2;4;4;3;2;2;4;2;2;2;2;2;2;2;2;2;2
Espoo;KD;Majanen;Maria;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Markkula;Paavo;;;;;4;2;4;2;4;5;4;4;2;2;2;2;2;2;2;2;2;2;2;2
Espoo;KD;Marvin;Amanita;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Okkonen;Taru;;;;;4;2;4;2;5;5;1;5;4;5;3;3;2;1;3;3;3;3;3;3
Espoo;KD;Pallaskorpi;Ninni;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Piirto;Asmo;;;;;3;2;3;3;5;5;3;5;4;4;2;2;2;2;2;2;2;2;2;2
Espoo;KD;Polso;Antero;;;;;4;4;2;4;5;5;2;5;4;4;2;2;2;2;3;3;2;3;2;2
Espoo;KD;Rokala;Anja;48;http://www.anjarokala.net./;;;2;4;2;3;5;4;3;4;3;4;2;3;2;2;3;2;2;3;2;2
Espoo;KD;Ronkainen;Remo;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Sarvi;Mari;;;;;1;1;2;2;5;5;4;4;4;5;2;2;2;2;2;2;2;2;2;2
Espoo;KD;Sehm;Hannu;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Soivio;Amos;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Sundbäck;Aira;;;;;3;1;3;4;4;5;3;5;4;5;2;2;2;2;3;2;2;2;2;3
Espoo;KD;Tulijoki;Juha-Pekka;;;;;2;2;2;2;4;5;3;4;5;4;2;2;2;2;2;2;2;2;2;2
Espoo;KD;Tuomi;Sirpa;;http://www.sirpatuomi.weebly.com/;http://www.facebook.com/SirpaTuomiEspoonValtuustoon2012;;4;5;4;2;3;5;2;4;4;4;2;3;2;2;2;2;2;2;2;2
Espoo;KD;Vuorinen;Kristiina;49;;;;2;2;2;3;4;5;2;4;4;4;3;2;2;2;3;2;2;2;3;2
Espoo;KD;Zakarian;Lala;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;KD;Omondi;Daisy;32;;https://www.facebook.com/daizey.omondi?ref=tn_tnmn;;1;1;5;3;3;5;4;5;3;5;2;2;2;2;2;2;2;2;2;2
Espoo;KD;Hallikainen;Linda;;;;;3;1;4;2;5;5;3;4;4;4;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Ahlfors;Tiina;;http://www.tiinaahlfors.fi/;http://www.facebook.com/pages/Tiina-Ahlfors/159518417433202;;1;1;1;2;2;1;1;2;5;4;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Andersson;Elisabet;;;;;1;1;1;2;3;2;2;3;4;5;2;2;2;2;2;2;2;2;2;3
Espoo;VAS;Fred;Maarit;;;;;1;1;1;1;4;1;1;2;5;5;3;3;3;3;2;2;2;2;2;2
Espoo;VAS;Haataja;Helena;;http://kuntavaaliehdokas.fi/helenahaataja;http://facebook.com/helenasusanna.haataja;;1;1;1;1;1;1;2;2;5;5;3;3;3;3;3;2;2;3;3;3
Espoo;VAS;Hallivuori;Heli;;;;;1;1;1;1;3;1;1;3;4;4;3;3;3;3;1;2;3;3;2;2
Espoo;VAS;Hangaslahti;Helena;;;;;1;1;2;1;4;1;1;2;5;5;3;3;3;2;2;2;2;2;3;3
Espoo;VAS;Heikkilä;Juhani;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Järveläinen;Heikki;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Jääskeläinen;Kari;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Kaiser;Mohammed;;;;;1;2;3;1;3;3;3;3;3;4;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Kakkola;Silla;;;http://www.facebook.com/silkakkola;;1;1;1;1;3;1;1;1;5;5;3;3;2;2;2;2;2;2;2;2
Espoo;VAS;Kankainen;Eeva;;;;;1;1;1;1;3;1;1;1;5;5;3;3;3;3;1;3;3;2;3;3
Espoo;VAS;Karhula;Jukka;57;http://www.kolumbus.fi/jukka.karhula/;http://www.facebook.com/pages/Jukka-Karhula/113827648691587;;2;1;5;1;3;5;2;2;5;5;2;3;3;3;3;2;1;1;2;3
Espoo;VAS;Kari;Onerva;;;;;1;1;1;1;2;1;1;2;5;4;2;2;3;3;2;3;2;2;2;2
Espoo;VAS;Karvinen;Niina;35;http://kuntavaaliehdokas.fi/niinakarvinen/;;;2;2;1;1;4;1;1;4;4;4;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Karvonen;Milla;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Kaukinen;Susanna;;http://kuntavaaliehdokas.fi/susannakaukinen/;http://www.facebook.com/kuntavaaliehdokas.susannakaukinen;https://twitter.com/#!/SusannaKaukinen;1;1;1;1;2;1;1;4;5;1;3;3;3;3;2;2;2;2;3;2
Espoo;VAS;Kinnunen;Elina;;;;;1;1;1;3;2;1;1;1;5;5;2;3;3;3;1;2;2;2;3;3
Espoo;VAS;Kivistö;Kalevi;;;;;1;2;1;1;3;1;1;2;4;5;3;2;3;3;2;2;2;2;2;3
Espoo;VAS;Kolehmainen;Visa;;;;;2;2;3;4;3;2;3;4;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Komulainen;Antti;;;;;1;1;2;1;3;2;2;2;5;5;3;2;3;3;1;2;2;2;3;3
Espoo;VAS;Koskenalho;Marja;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Koskenalho;Pekka;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Kotonen;Sebastian;26;;;https://twitter.com/SebastianKotone;1;1;1;1;4;1;1;3;5;5;3;3;3;3;1;2;2;2;2;3
Espoo;VAS;Krekola;Antero;;;;;1;1;1;2;2;1;2;3;5;5;3;2;3;2;1;2;1;1;2;2
Espoo;VAS;Lindqvist;Markus;;;;;3;2;2;2;5;3;4;4;3;3;2;3;3;2;3;2;2;2;2;2
Espoo;VAS;Malm;Santtu;51;http://www.työnohjaus.fi/;;;1;1;2;2;4;2;4;4;5;4;3;3;3;3;2;2;2;2;3;3
Espoo;VAS;Mohamud;Abdi-Rashid;;;;;1;5;2;2;4;5;1;5;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Mäentie;Eero;;;;;1;1;1;2;3;1;2;3;4;5;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Mänttäri;Saija;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Partanen;Jarkko;43;;https://www.facebook.com/jjparta?ref=hl;https://twitter.com/jjparta;1;1;2;1;3;3;2;4;4;4;3;3;2;3;1;1;2;2;2;2
Espoo;VAS;Parviainen;Mikko;;;;;1;1;1;1;3;1;1;2;4;5;2;3;2;2;1;2;1;2;2;2
Espoo;VAS;Peltola;Eva;;;;;2;2;3;2;3;1;3;3;4;4;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Pitkä;Maija-Liisa;79;;;;1;1;2;1;2;1;1;4;4;5;3;3;2;3;3;2;2;2;2;3
Espoo;VAS;Ruuska;Ari;;;;;4;1;5;1;5;3;1;5;1;5;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Saarinen;Antti;;;;;1;1;1;2;4;1;2;3;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Salminen-Mänttäri;Jouni;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Särkkä;Riku;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Tilli;Timo;68;http://kuntavaaliehdokas.fi/timotilli;http://www.facebook.com/timo.tilli.9;;2;1;4;1;5;1;1;4;4;4;2;3;2;3;3;2;2;2;2;2
Espoo;VAS;Tommila;Niina;;;;;2;1;4;4;5;1;4;5;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;VAS;Ukkola;Aarne;;;;;1;1;2;2;3;1;1;4;4;5;2;2;2;2;2;2;1;2;2;2
Espoo;VAS;Uotila;Kari;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Uusivuori;Ville;;;;;1;1;1;1;3;1;1;1;5;5;2;3;2;2;2;3;2;2;2;2
Espoo;VAS;Vaara;Ville;;;;;1;1;1;1;2;1;1;1;4;4;2;3;3;3;3;3;3;2;2;2
Espoo;VAS;Varvio;Niko;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;VAS;Vepsäläinen;Hannu;66;http://www.hannuvepsalainen.com/;;;1;1;1;1;3;2;1;3;4;4;2;3;2;3;1;1;2;1;2;2
Espoo;VAS;Wessman;Jaana;38;http://www.iki.fi/janka/log/;https://www.facebook.com/wessmanjaana;;1;1;2;2;3;1;2;4;5;4;2;2;2;2;2;2;2;2;2;2
Espoo;M11;Björklund;Mikko;33;;https://www.facebook.com/mikko.bjorklund.3?ref=tn_tnmn;;1;2;2;4;3;1;2;3;4;5;2;2;2;2;2;2;2;2;2;2
Espoo;M11;Mäki;Tommi;33;;;;1;1;1;1;4;1;1;2;5;5;3;3;2;2;2;3;2;3;3;3
Espoo;M11;Rusanen;Harri;;;;;2;2;2;2;4;2;3;4;4;4;2;2;2;2;2;2;2;2;2;2
Espoo;M11;Yli-Paavola;Jussi;;;;;3;1;2;2;5;5;5;4;2;2;2;2;2;2;3;2;3;2;2;2
Espoo;STP;Bäckman;Johan;;;;;1;1;1;2;5;5;3;5;3;5;2;2;2;2;3;3;1;3;3;3
Espoo;STP;Lievemaa;Tommi;;;;;1;1;1;1;3;1;1;4;5;5;2;2;2;2;2;2;2;2;2;2
Espoo;STP;Rytkönen;Reijo;;;;;1;1;1;1;5;3;1;3;3;5;3;2;3;2;2;1;1;2;2;2
Espoo;SDP;Heiskanen;Sakari;44;http://heiskanenespoosta.blogspot.com/;;;1;1;1;1;3;1;1;2;3;5;3;1;2;3;2;2;1;1;2;3
Espoo;SDP;Helander;Mika;;;;;;;;;;;;;;;;;;;;;;;;
Espoo;SDP;Hirvelä;Ilkka;;;;;2;2;2;2;4;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2
Espoo;SDP;Huhtala;Arto;61;;;;3;1;4;2;5;4;1;5;2;4;2;3;1;3;3;1;2;1;2;3
Espoo;SDP;Hurskainen;Kai;55;;;;1;1;1;1;4;3;2;2;5;4;2;2;2;2;2;2;2;2;3;2
Espoo;SDP;Hyytiä-Hallenberg;Sirpa;54;http://www.sirpahallenberg.fi/;https://www.facebook.com/SirpaHyytiaHallenberg?ref=hl;https://twitter.com/SirpaHH;2;2;2;2;3;2;2;2;4;5;3;3;3;3;2;1;1;3;3;3
